,title,score
0,Avatar,7.178368119357613
1,Pirates of the Caribbean: At World's End,6.859907141809687
2,Spectre,6.289610788442644
3,The Dark Knight Rises,7.562066193819599
4,John Carter,6.099220142631992
5,Spider-Man 3,5.911849991201489
6,Tangled,7.313789710089446
7,Avengers: Age of Ultron,7.259463055765334
8,Harry Potter and the Half-Blood Prince,7.344403096322155
9,Batman v Superman: Dawn of Justice,5.712731083916131
10,Superman Returns,5.499486432091055
11,Quantum of Solace,6.099425098896522
12,Pirates of the Caribbean: Dead Man's Chest,6.96107650364329
13,The Lone Ranger,5.9177377519516385
14,Man of Steel,6.485465622758397
15,The Chronicles of Narnia: Prince Caspian,6.273812502128082
16,The Avengers,7.374411815541493
17,Pirates of the Caribbean: On Stranger Tides,6.3860428933955
18,Men in Black 3,6.194234429230688
19,The Hobbit: The Battle of the Five Armies,7.052584647941716
20,The Amazing Spider-Man,6.485949320696213
21,Robin Hood,6.1844827412546675
22,The Hobbit: The Desolation of Smaug,7.525543247839645
23,The Golden Compass,5.844642598484313
24,King Kong,6.553600434085875
25,Titanic,7.457568336086811
26,Captain America: Civil War,7.068319999527671
27,Battleship,5.559242365461418
28,Jurassic World,6.489227865175775
29,Skyfall,6.875782665705942
30,Spider-Man 2,6.668648006248655
31,Iron Man 3,6.781601627747912
32,Alice in Wonderland,6.385176294358376
33,X-Men: The Last Stand,6.2870107224651255
34,Monsters University,6.943305957073843
35,Transformers: Revenge of the Fallen,6.006421676984545
36,Transformers: Age of Extinction,5.820618713654316
37,Oz: The Great and Powerful,5.72447817170488
38,The Amazing Spider-Man 2,6.478287339480941
39,TRON: Legacy,6.28412233955425
40,Cars 2,5.830273508143241
41,Green Lantern,5.185657720965787
42,Toy Story 3,7.526668111852002
43,Terminator Salvation,5.916738441982532
44,Furious 7,7.235651851387185
45,World War Z,6.675351219407916
46,X-Men: Days of Future Past,7.447209241498145
47,Star Trek Into Darkness,7.333948058557677
48,Jack the Giant Slayer,5.549121184775458
49,The Great Gatsby,7.229110968149069
50,Prince of Persia: The Sands of Time,6.190070656923539
51,Pacific Rim,6.6715968018430845
52,Transformers: Dark of the Moon,6.099479433069856
53,Indiana Jones and the Kingdom of the Crystal Skull,5.733758357680906
54,The Good Dinosaur,6.539452215357114
55,Brave,6.670705561211827
56,Star Trek Beyond,6.557424301273233
57,WALL·E,7.738548509641536
58,Rush Hour 3,6.098192845254296
59,2012,5.622510766148087
60,A Christmas Carol,6.51027091463825
61,Jupiter Ascending,5.26981695520109
62,The Legend of Tarzan,5.55221775477256
63,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",6.6501258088229305
64,X-Men: Apocalypse,6.385403615106714
65,The Dark Knight,8.159521150320247
66,Up,7.646820593450933
67,Monsters vs Aliens,6.013064123322601
68,Iron Man,7.365892832811994
69,Hugo,6.9102105709044075
70,Wild Wild West,5.285785112724201
71,The Mummy: Tomb of the Dragon Emperor,5.329260367736667
72,Suicide Squad,5.905870312812801
73,Evan Almighty,5.434314802647094
74,Edge of Tomorrow,7.530426137142916
75,Waterworld,5.936805473894761
76,G.I. Joe: The Rise of Cobra,5.652644659293979
77,Inside Out,7.934019178288281
78,The Jungle Book,6.654320536126918
79,Iron Man 2,6.583153630218643
80,Snow White and the Huntsman,5.820477278994593
81,Maleficent,6.95490600644026
82,Dawn of the Planet of the Apes,7.238893501930867
84,47 Ronin,5.928930375700752
85,Captain America: The Winter Soldier,7.540933541668423
86,Shrek Forever After,6.009872523458921
87,Tomorrowland,6.191775500314468
88,Big Hero 6,7.736995340105003
89,Wreck-It Ralph,7.050709743281763
90,The Polar Express,6.357671337898697
91,Independence Day: Resurgence,5.002773410296726
92,How to Train Your Dragon,7.42585394811046
93,Terminator 3: Rise of the Machines,5.9189908816101235
94,Guardians of the Galaxy,7.85741809326139
95,Interstellar,8.057499578136271
96,Inception,8.066265840885743
98,The Hobbit: An Unexpected Journey,6.974995348859455
99,The Fast and the Furious,6.567420233816236
100,The Curious Case of Benjamin Button,7.21952376423841
101,X-Men: First Class,7.056270368624237
102,The Hunger Games: Mockingjay - Part 2,6.571713751236993
103,The Sorcerer's Apprentice,5.84026998033365
104,Poseidon,5.6701226362700154
105,Alice Through the Looking Glass,6.451102202280037
106,Shrek the Third,6.0086193061953335
107,Warcraft,6.280487541537704
108,Terminator Genisys,5.8177600404730665
109,The Chronicles of Narnia: The Voyage of the Dawn Treader,6.185511901926171
110,Pearl Harbor,6.541095911386412
111,Transformers,6.572084284554122
112,Alexander,5.699535556341543
113,Harry Potter and the Order of the Phoenix,7.346353694618411
114,Harry Potter and the Goblet of Fire,7.443378455668128
115,Hancock,6.192071438194265
116,I Am Legend,6.862688741444354
117,Charlie and the Chocolate Factory,6.662985311342025
118,Ratatouille,7.428140815914177
119,Batman Begins,7.456434068536854
120,Madagascar: Escape 2 Africa,6.187608956708495
121,Night at the Museum: Battle of the Smithsonian,5.920471584981358
122,X-Men Origins: Wolverine,6.194046126989867
123,The Matrix Revolutions,6.378282892965738
124,Frozen,7.248672751621857
125,The Matrix Reloaded,6.661163761954561
126,Thor: The Dark World,6.766665394081938
127,Mad Max: Fury Road,7.173055300814415
128,Angels & Demons,6.459458678709337
129,Thor,6.582346200661076
130,Bolt,6.275395625425125
131,G-Force,5.412966867743453
132,Wrath of the Titans,5.583529601722012
133,Dark Shadows,5.736070573960419
134,Mission: Impossible - Rogue Nation,7.031529435232399
135,The Wolfman,5.677500403659277
136,Bee Movie,5.765547878000621
137,Kung Fu Panda 2,6.632463506604668
138,The Last Airbender,4.936046404378697
139,Mission: Impossible III,6.457649278156815
140,White House Down,6.365973808310853
142,Flushed Away,6.019531394471482
143,Pan,5.937981763220247
144,Mr. Peabody & Sherman,6.567495655351459
145,Troy,6.836593292073772
146,Madagascar 3: Europe's Most Wanted,6.3645914422265655
147,Die Another Day,5.851741007135548
148,Ghostbusters,5.37831733970083
149,Armageddon,6.373375162483943
150,Men in Black II,6.006467696765862
151,Beowulf,5.62933114913464
152,Kung Fu Panda 3,6.622285264672945
153,Mission: Impossible - Ghost Protocol,6.760461211425926
154,Rise of the Guardians,6.990199497667534
155,Fun with Dick and Jane,5.9523901583165575
156,The Last Samurai,7.166741932614493
157,Exodus: Gods and Kings,5.6536457868594026
158,Star Trek,7.335337748047312
159,Spider-Man,6.769756421176159
160,How to Train Your Dragon 2,7.493942028275628
161,Gods of Egypt,5.423121902426503
162,Stealth,5.3949828912877615
163,Watchmen,6.929960707967457
164,Lethal Weapon 4,6.251257800867138
165,Hulk,5.40529429664529
166,G.I. Joe: Retaliation,5.449895802597814
167,Sahara,5.837758320581274
168,Final Fantasy: The Spirits Within,5.96760526417496
169,Captain America: The First Avenger,6.58361168861149
170,The World Is Not Enough,6.0197450469178415
171,Master and Commander: The Far Side of the World,6.714790552652559
172,The Twilight Saga: Breaking Dawn - Part 2,6.099340142205477
173,Happy Feet Two,5.912928152086962
174,The Incredible Hulk,6.099434986630488
175,The BFG,6.01753871778856
176,The Revenant,7.257195040939356
177,Turbo,6.098594588593485
178,Rango,6.547795414028378
179,Penguins of Madagascar,6.4393803393225
180,The Bourne Ultimatum,7.209113133675592
181,Kung Fu Panda,6.843834413156472
182,Ant-Man,6.965112071376757
183,The Hunger Games: Catching Fire,7.35433288506224
184,Home,6.705165516800953
185,War of the Worlds,6.190090072924862
186,Bad Boys II,6.272851760127223
187,Puss in Boots,6.294548566281156
188,Salt,6.1891152562151515
189,Noah,5.644742869040183
190,The Adventures of Tintin,6.637787594280868
191,Harry Potter and the Prisoner of Azkaban,7.638180680050535
192,Australia,6.247427681882533
193,After Earth,5.092757613469054
194,Dinosaur,6.167387794683234
195,Night at the Museum: Secret of the Tomb,6.099118080761683
196,Megamind,6.633655511597247
197,Harry Potter and the Philosopher's Stone,7.454310221857322
198,R.I.P.D.,5.508802887270149
199,Pirates of the Caribbean: The Curse of the Black Pearl,7.454177329150814
200,The Hunger Games: Mockingjay - Part 1,6.579491375918349
201,The Da Vinci Code,6.467390376478011
202,Rio 2,6.259736452159005
203,X2,6.755536037548482
204,Fast Five,7.01139555423452
205,Sherlock Holmes: A Game of Shadows,6.948231088684512
206,Clash of the Titans,5.646863985603271
207,Total Recall,6.978231525176798
208,The 13th Warrior,6.302899753649494
209,The Bourne Legacy,6.007505307161772
210,Batman & Robin,4.469002006333256
211,How the Grinch Stole Christmas,6.184367869505782
212,The Day After Tomorrow,6.190354136455605
213,Mission: Impossible II,5.920878555926432
214,The Perfect Storm,6.16954364960201
215,Fantastic 4: Rise of the Silver Surfer,5.457599262205692
216,Life of Pi,7.156840238141392
217,Ghost Rider,5.307683778361003
218,Jason Bourne,5.917531178753444
219,Charlie's Angels: Full Throttle,5.382471989964206
220,Prometheus,6.29081097205435
221,Stuart Little 2,5.591816410930274
222,Elysium,6.380310374651299
223,The Chronicles of Riddick,6.272942003583863
224,RoboCop,5.735762637356955
225,Speed Racer,5.856469128130514
227,Knight and Day,5.925342489600939
228,Oblivion,6.385632634849826
229,Star Wars: Episode III - Revenge of the Sith,7.045566609163152
230,Star Wars: Episode II - Attack of the Clones,6.38288628258076
231,"Monsters, Inc.",7.446904239523169
232,The Wolverine,6.28861014843024
233,Star Wars: Episode I - The Phantom Menace,6.289535101021828
