,popularity,vote_average,title
0,150.437577,7.2,Avatar
1,139.082615,6.9,Pirates of the Caribbean: At World's End
2,107.376788,6.3,Spectre
3,112.31295,7.6,The Dark Knight Rises
4,43.926995,6.1,John Carter
5,115.699814,5.9,Spider-Man 3
6,48.681969,7.4,Tangled
7,134.279229,7.3,Avengers: Age of Ultron
8,98.885637,7.4,Harry Potter and the Half-Blood Prince
9,155.790452,5.7,Batman v Superman: Dawn of Justice
10,57.925623,5.4,Superman Returns
11,107.928811,6.1,Quantum of Solace
12,145.847379,7.0,Pirates of the Caribbean: Dead Man's Chest
13,49.046956,5.9,The Lone Ranger
14,99.398009,6.5,Man of Steel
15,53.978602,6.3,The Chronicles of Narnia: Prince Caspian
16,144.448633,7.4,The Avengers
17,135.413856,6.4,Pirates of the Caribbean: On Stranger Tides
18,52.035179,6.2,Men in Black 3
19,120.965743,7.1,The Hobbit: The Battle of the Five Armies
20,89.866276,6.5,The Amazing Spider-Man
21,37.668301,6.2,Robin Hood
22,94.370564,7.6,The Hobbit: The Desolation of Smaug
23,42.990906,5.8,The Golden Compass
24,61.22601,6.6,King Kong
25,100.025899,7.5,Titanic
26,198.372395,7.1,Captain America: Civil War
27,64.928382,5.5,Battleship
28,418.708552,6.5,Jurassic World
29,93.004993,6.9,Skyfall
30,35.149586,6.7,Spider-Man 2
31,77.68208,6.8,Iron Man 3
32,78.530105,6.4,Alice in Wonderland
33,3.857526,6.3,X-Men: The Last Stand
34,89.186492,7.0,Monsters University
35,21.939663,6.0,Transformers: Revenge of the Fallen
36,116.840296,5.8,Transformers: Age of Extinction
37,46.985445,5.7,Oz: The Great and Powerful
38,89.270217,6.5,The Amazing Spider-Man 2
39,73.79505,6.3,TRON: Legacy
40,49.98659,5.8,Cars 2
41,51.872839,5.1,Green Lantern
42,59.995418,7.6,Toy Story 3
43,71.862892,5.9,Terminator Salvation
44,102.322217,7.3,Furious 7
45,81.834855,6.7,World War Z
46,118.078691,7.5,X-Men: Days of Future Past
47,78.291018,7.4,Star Trek Into Darkness
48,43.349855,5.5,Jack the Giant Slayer
49,61.196071,7.3,The Great Gatsby
50,62.169881,6.2,Prince of Persia: The Sands of Time
51,56.523205,6.7,Pacific Rim
52,28.529607,6.1,Transformers: Dark of the Moon
53,75.674458,5.7,Indiana Jones and the Kingdom of the Crystal Skull
54,51.692953,6.6,The Good Dinosaur
55,125.114374,6.7,Brave
56,65.352913,6.6,Star Trek Beyond
57,66.390712,7.8,WALL·E
58,22.57178,6.1,Rush Hour 3
59,45.274225,5.6,2012
60,39.744242,6.6,A Christmas Carol
61,85.36908,5.2,Jupiter Ascending
62,42.741719,5.5,The Legend of Tarzan
63,67.391328,6.7,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe"
64,139.272042,6.4,X-Men: Apocalypse
65,187.322927,8.2,The Dark Knight
66,92.201962,7.7,Up
67,36.167578,6.0,Monsters vs Aliens
68,120.725053,7.4,Iron Man
69,32.319043,7.0,Hugo
70,40.748915,5.1,Wild Wild West
71,60.034162,5.2,The Mummy: Tomb of the Dragon Emperor
72,90.23792,5.9,Suicide Squad
73,27.082182,5.3,Evan Almighty
74,79.456485,7.6,Edge of Tomorrow
75,44.640292,5.9,Waterworld
76,32.852443,5.6,G.I. Joe: The Rise of Cobra
77,128.655964,8.0,Inside Out
78,94.199316,6.7,The Jungle Book
79,77.300194,6.6,Iron Man 2
80,77.178973,5.8,Snow White and the Huntsman
81,110.620647,7.0,Maleficent
82,243.791743,7.3,Dawn of the Planet of the Apes
83,2.418535,4.8,The Lovers
84,41.796339,5.9,47 Ronin
85,72.225265,7.6,Captain America: The Winter Soldier
86,44.041186,6.0,Shrek Forever After
87,130.311355,6.2,Tomorrowland
88,203.73459,7.8,Big Hero 6
89,62.341073,7.1,Wreck-It Ralph
90,47.323228,6.4,The Polar Express
