,title,metadonnees,popularity
0,Avatar,cultureclash future spacewar samworthington zoesaldana sigourneyweaver jamescameron action adventure fantasy,150.437577
1,Pirates of the Caribbean: At World's End,ocean drugabuse exoticisland johnnydepp orlandobloom keiraknightley goreverbinski adventure fantasy action,139.082615
2,Spectre,spy basedonnovel secretagent danielcraig christophwaltz léaseydoux sammendes action adventure crime,107.376788
3,The Dark Knight Rises,dccomics crimefighter terrorist christianbale michaelcaine garyoldman christophernolan action crime drama,112.31295
4,John Carter,basedonnovel mars medallion taylorkitsch lynncollins samanthamorton andrewstanton action adventure sciencefiction,43.926995
5,Spider-Man 3,dualidentity amnesia sandstorm tobeymaguire kirstendunst jamesfranco samraimi fantasy action adventure,115.699814
6,Tangled,hostage magic horse zacharylevi mandymoore donnamurphy byronhoward animation family,48.681969
7,Avengers: Age of Ultron,marvelcomic sequel superhero robertdowneyjr. chrishemsworth markruffalo josswhedon action adventure sciencefiction,134.279229
8,Harry Potter and the Half-Blood Prince,witch magic broom danielradcliffe rupertgrint emmawatson davidyates adventure fantasy family,98.885637
9,Batman v Superman: Dawn of Justice,dccomics vigilante superhero benaffleck henrycavill galgadot zacksnyder action adventure fantasy,155.790452
10,Superman Returns,savingtheworld dccomics invulnerability brandonrouth kevinspacey katebosworth bryansinger adventure fantasy action,57.925623
11,Quantum of Solace,killing undercover secretagent danielcraig olgakurylenko mathieuamalric marcforster adventure action thriller,107.928811
12,Pirates of the Caribbean: Dead Man's Chest,witch fortuneteller bondage johnnydepp orlandobloom keiraknightley goreverbinski adventure fantasy action,145.847379
13,The Lone Ranger,texas horse survivor johnnydepp armiehammer williamfichtner goreverbinski action adventure western,49.046956
14,Man of Steel,savingtheworld dccomics superhero henrycavill amyadams michaelshannon zacksnyder action adventure fantasy,99.398009
15,The Chronicles of Narnia: Prince Caspian,basedonnovel fictionalplace brothersisterrelationship benbarnes williammoseley annapopplewell andrewadamson adventure family fantasy,53.978602
16,The Avengers,newyork shield marvelcomic robertdowneyjr. chrisevans markruffalo josswhedon sciencefiction action adventure,144.448633
17,Pirates of the Caribbean: On Stranger Tides,sea captain mutiny johnnydepp penélopecruz ianmcshane robmarshall adventure action fantasy,135.413856
18,Men in Black 3,timetravel timemachine alien willsmith tommyleejones joshbrolin barrysonnenfeld action comedy sciencefiction,52.035179
